Station: J61C, Start: 2013-08-20, End: 2014-05-31, Lat: 47.8728, Lon: -128.1972, Depth: -2673.0, BH1: 173, BH2: 263
Station: J65C, Start: 2013-08-19, End: 2014-05-29, Lat: 47.8913, Lon: -125.1398, Depth: -169.0, BH1: 109, BH2: 199
Station: J68C, Start: 2013-08-20, End: 2014-05-31, Lat: 48.4811, Lon: -127.8293, Depth: -2587.0, BH1: 141, BH2: 231
Station: J73C, Start: 2013-08-19, End: 2014-05-30, Lat: 48.7679, Lon: -126.1926, Depth: -133.0, BH1: 329, BH2: 59
Station: M01C, Start: 2013-08-19, End: 2014-05-30, Lat: 49.1504, Lon: -126.7222, Depth: -138.0, BH1: 138, BH2: 228
Station: M02C, Start: 2013-08-19, End: 2014-05-30, Lat: 48.3069, Lon: -125.6012, Depth: -141.0, BH1: 88, BH2: 178
Station: M03C, Start: 2013-08-19, End: 2014-05-30, Lat: 47.8884, Lon: -126.1046, Depth: -1839.0, BH1: 327, BH2: 57
Station: M04C, Start: 2013-08-19, End: 2014-05-29, Lat: 47.5584, Lon: -125.1923, Depth: -570.0, BH1: 103, BH2: 193
Station: M05C, Start: 2013-08-19, End: 2014-05-29, Lat: 46.1735, Lon: -124.9345, Depth: -837.0, BH1: 194, BH2: 284
Station: J21C, Start: 2013-08-08, End: 2014-05-14, Lat: 44.5342, Lon: -128.0376, Depth: -2847.0, BH1: 42, BH2: 132
Station: J23C, Start: 2013-08-08, End: 2014-05-15, Lat: 44.8438, Lon: -129.6810, Depth: -2653.0, BH1: 147, BH2: 237
Station: J28C, Start: 2013-08-02, End: 2014-05-21, Lat: 45.0617, Lon: -127.1567, Depth: -2889.0, BH1: 186, BH2: 276
Station: J29C, Start: 2013-08-02, End: 2014-07-07, Lat: 45.1731, Lon: -128.0058, Depth: -2816.0, BH1: 59, BH2: 149
Station: J30C, Start: 2013-08-07, End: 2014-05-15, Lat: 45.4261, Lon: -128.9100, Depth: -2786.0, BH1: 65, BH2: 155
Station: J31C, Start: 2013-08-07, End: 2014-05-15, Lat: 45.5519, Lon: -129.6724, Depth: -2624.0, BH1: 234, BH2: 324
Station: J32C, Start: 2013-08-08, End: 2014-05-15, Lat: 45.7145, Lon: -130.6030, Depth: -2756.0, BH1: 97, BH2: 187
Station: J35C, Start: 2013-08-09, End: 2014-05-19, Lat: 45.4995, Lon: -126.2683, Depth: -2655.0, BH1: 333, BH2: 63
Station: J36C, Start: 2013-08-09, End: 2014-05-20, Lat: 45.6865, Lon: -127.1252, Depth: -2812.0, BH1: 33, BH2: 123
Station: J37C, Start: 2013-08-02, End: 2014-05-20, Lat: 45.8635, Lon: -127.9853, Depth: -2886.0, BH1: 228, BH2: 318
Station: J38C, Start: 2013-08-07, End: 2014-05-16, Lat: 46.0389, Lon: -128.8536, Depth: -2731.0, BH1: 245, BH2: 335
Station: J39C, Start: 2013-08-06, End: 2014-05-16, Lat: 46.1761, Lon: -129.6438, Depth: -2656.0, BH1: 268, BH2: 358
Station: J43C, Start: 2013-08-09, End: 2014-05-19, Lat: 46.1370, Lon: -126.1725, Depth: -2645.0, BH1: 118, BH2: 208
Station: J44C, Start: 2013-08-09, End: 2014-05-19, Lat: 46.3240, Lon: -127.0407, Depth: -2742.0, BH1: 303, BH2: 33
Station: J45C, Start: 2013-08-03, End: 2014-07-07, Lat: 46.5209, Lon: -127.9047, Depth: -2742.0, BH1: 109, BH2: 199
Station: J46C, Start: 2013-08-07, End: 2014-05-16, Lat: 46.6645, Lon: -128.7894, Depth: -2744.0, BH1: 175, BH2: 265
Station: J47C, Start: 2013-08-07, End: 2014-05-16, Lat: 46.8440, Lon: -129.7139, Depth: -2679.0, BH1: 219, BH2: 309
Station: J48C, Start: 2013-08-06, End: 2014-05-17, Lat: 47.1295, Lon: -130.6507, Depth: -2940.0, BH1: 290, BH2: 20
Station: J54C, Start: 2013-08-03, End: 2014-05-18, Lat: 47.3358, Lon: -128.8113, Depth: -2666.0, BH1: 84, BH2: 174
Station: J55C, Start: 2013-08-06, End: 2014-05-17, Lat: 47.5315, Lon: -129.7078, Depth: -2755.0, BH1: 127, BH2: 217
Station: J63C, Start: 2013-08-05, End: 2014-05-17, Lat: 48.2047, Lon: -130.0053, Depth: -2845.0, BH1: 100, BH2: 190
Station: J67C, Start: 2013-08-05, End: 2014-05-19, Lat: 48.1510, Lon: -127.0868, Depth: -2581.0, BH1: 178, BH2: 268
Station: J69C, Start: 2013-08-05, End: 2014-05-17, Lat: 48.6270, Lon: -128.7386, Depth: -2544.0, BH1: 37, BH2: 127
